,train_loss,test_loss,epoch_time
0,0.0012007922595773542,0.0010530494785668382,8.595255851745605
1,0.0011111024463580658,0.001047708393515849,8.459779500961304
2,0.0009932068459625777,0.0009800461628725464,8.544485092163086
3,0.0008700005496098425,0.0008487004234262309,8.600176811218262
4,0.0007386364894135259,0.0006960678314592373,8.849743843078613
5,0.000693280043488133,0.0007607686529303868,8.765837669372559
6,0.000593666518600513,0.000648259266511429,8.952286958694458
7,0.0005780847824924326,0.0005857100286708114,8.497732162475586
8,0.0005193120146679598,0.0005542508779518883,8.844505786895752
9,0.0005189886612770938,0.0005657450666881737,8.58171558380127
10,0.000454235751756575,0.0005014475814900771,8.892136573791504
11,0.00043324728573702773,0.0005048076087499699,8.70546555519104
12,0.00042726281955934094,0.00046076902511135574,8.442640781402588
13,0.00039760877204559784,0.00042994798601025,8.712645292282104
14,0.0003709285805246421,0.0004105244994230489,8.547465085983276
15,0.0003545590337324711,0.0003916117449867849,8.676177501678467
16,0.0003318029118528295,0.00039358747155986476,9.254382610321045
17,0.0003336229414505778,0.00037354318094874313,8.519466161727905
18,0.00032460390596800913,0.0003639202920697114,8.20328950881958
19,0.00030347405883672296,0.0003646905570601828,8.444644689559937
20,0.0002898848910769595,0.0004055012153101514,8.62857174873352
21,0.00029825910653121705,0.00037277732345868673,8.666260004043579
22,0.00026899811778964056,0.00033785665646181046,8.916765451431274
23,0.00025989865790832504,0.00033007008178942735,8.723204851150513
24,0.00025008900618601616,0.00032889427644150623,8.953648805618286
