,train_loss,test_loss,epoch_time
0,0.00130052814886158,0.0013644964906508916,429.5266544818878
1,0.0013120673169625203,0.001386803136785827,426.7099714279175
2,0.0013682604422659381,0.00142536537254943,390.3210654258728
3,0.0012860156320107072,0.0013876469017663237,431.51251697540283
4,0.0013162535501536556,0.0013757880179591459,412.5365560054779
5,0.0013796352127631445,0.0013641447589474705,390.83905839920044
6,0.001376729381724563,0.001279692907980197,408.0170729160309
7,0.0013012589252039684,0.0013475309519696461,422.7964463233948
8,0.001384327998175211,0.001281950381428021,390.1323952674866
9,0.001362507175266122,0.0015123284252025002,402.03807067871094
10,0.0012794300033452388,0.001397159024475657,428.5210773944855
11,0.0013011252910280137,0.001430638831100493,434.5136544704437
12,0.0012704395975901268,0.0014323164110942182,456.25743985176086
13,0.0012940871647965425,0.001318055535426102,460.9794557094574
14,0.0012880715243938497,0.0013314420113708606,454.2550859451294
15,0.0012898257906860287,0.0013882585021946267,460.6470892429352
16,0.0013149524685526716,0.0013531793250419017,399.4564528465271
17,0.0012976458573548096,0.001389264592224257,412.92006850242615
18,0.0012685101875017132,0.0013357474745134823,431.32122826576233
19,0.0012390881821854388,0.001392026081977759,448.1910581588745
20,0.0012423872463111964,0.001344804712003957,447.5702655315399
21,0.0012950572218881152,0.0014579885824812999,385.33824586868286
22,0.001258548380400954,0.0013695617586783591,444.09919023513794
23,0.001226026564643903,0.0012353539532690217,440.40055894851685
24,0.0012982925980652188,0.0013927974250206414,408.8902745246887
